ID,Name,Discounted Price,Original Price,Discount(%),Rating,Shipping
0,Daraz Like New Laptops - Dell Chromebook 11 3120 -- Intel Celeron - 4GB Ram - 16GB SSD With Web Store - With Box/Bag,"11,999","20,000",40%,14,Free Shipping
1,"Daraz Like New Laptops - HP Elitebook 850 G6 Core i5 8th Gen, 16GB RAM, 256GB SSD, 15.6″ FHD IPS LED","99,999","105,000",5%,4,Free Shipping
2,"Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG","15,299","29,999",49%,36,Free Shipping
3,Dell Chromebook 11 3189 - 360 TouchScreen - Intel Celeron N3060 - 4GB Ram - 16GB SSD With Play Store - PUBG Supported - With Box/Bag,"15,299","30,000",49%,36,No Free Shipping
4,Acer C720 ChromeBook Laptop - 4gb / 16gb - Long Battery Life,"15,500",0,0%,99,Free Shipping
5,Lenovo Thinkpad X240 - Core i5 4th Generation - 8GB RAM - 500GB HDD - 12.5inches Screen - FREE LAPTOP BAG,"29,999","44,999",33%,28,Free Shipping
6,Dell | Laptop 3180 | 128GB Storage | 4GB RAM | Dual-core 1.6GHz | Windows 10 | 6th Generation | 11.6″ Screen,"22,999","23,999",4%,21,Free Shipping
7,"Daraz Like New Laptops - Apple MacBook Air A1466 Early 2015 With 1.6GHz Intel Core i5 (13.3 inch, 4GB RAM, 128GB) Silver","59,999","80,000",25%,13,Free Shipping
8,Daraz Like New Laptops - Dell Chromebook 11 3180 - 4GB RAM - 16GB SSD,"11,999","21,999",45%,2,Free Shipping
9,"Dell Inspiron Chromebook 11 3100-11.6"" HD -Intel Celeron N4000-4GB - 32GB eMMC - Play Store - Chrome OS - Black","16,000","18,000",11%,26,Free Shipping
10,Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),"44,999","74,999",40%,1,Free Shipping
11,"Daraz Like New Laptops - Dell Latitude 6430, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LAPTOP BAG","29,499","37,999",22%,38,Free Shipping
12,HP ELITEBOOK 840-G5 8TH GENERATION | INTEL CORE-I5 | 8250u PROCESSOR | 16GB RAM | 512GB SSD | FHD | 14.1’INCH DISPLAY | SILVER | WIN11 PRO | REGITERED (FREE LAPTOP BAG),"84,999","199,999",58%,3,Free Shipping
13,"CTL ED20PA2 LAPTOP | 11.6"" TOUCH SCREEN | 4GB RAM | 128GB SSD","15,499",0,0%,0,No Free Shipping
14,Hp Elitebook 820 G4 - Core i5 7th Generation - 16GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),"59,999","79,999",25%,2,Free Shipping
15,Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported - With Box/Bag,"12,999","22,999",43%,51,Free Shipping
16,"Dell Latitude 6430, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LAPTOP BAG","28,999","39,999",28%,0,Free Shipping
17,"Daraz Like New Laptops - Dell Latitude 6530, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 15.6"" Led Display, Numeric Keypad (Windows 10 Registered) FREE LAPTOP BAG","32,999","42,999",23%,16,Free Shipping
18,"Daraz Like New Laptops - HP ProBook 6550B Intel Core i5 1st Generation, 8GB DDR3 Ram, 500GB Hard Drive ,15.6"" Led Display, Intel HD Graphics Card","22,999","30,000",23%,1,Free Shipping
19,Daraz Like New Laptops - Acer ChromeBook R11 - Touch Screen Laptop - 16GB Storage - 4GB RAM - 360 Rotatable - 11.6″ HD Display - Playstore Supported - Long Battery Life - Free Laptop Bag,"16,999","30,000",43%,1,Free Shipping
20,dell chromebook 3380 14 inches 4 gb ram 32 gb ssd built in camera with special gift,"16,400","21,000",22%,0,No Free Shipping
21,Dell Latitude D620 Intel Core 2 Duo Laptop | 14 inches | 4GB Ram 250GB Hard Drive,"15,200","18,500",18%,0,No Free Shipping
22,Daraz Like New Laptops - Lenovo Chromebook 300E X360 Intel Celeron 4GB RAM 32GB Chrome OS (FREE LAPTOP BAG),"21,999","32,999",33%,4,Free Shipping
23,HP EliteBook 840 G3 - Core i7 6th Generation - 16GB RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"66,999","79,999",16%,3,Free Shipping
24,"MacBook Air (13-inch, Early 2015) 4gb 128gb","65,000","75,000",13%,8,Free Shipping
25,Lenovo N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"13,999","19,999",30%,0,No Free Shipping
26,Daraz Like New Laptops - HP ELITEBOOK 840-G5 8TH GENERATION INTEL CORE-I5 8250u PROCESSOR 8GB RAM 256GB SSD FHD 14.1’INCH (WINDOWS 11 ACTIVATED) FREE LAPTOP BAG,"84,999","94,999",11%,5,Free Shipping
27,Daraz Like New Laptops - Dell Latitude 6530 Core i5 3rd Gen 8GB - 500GB HDD,"36,999","41,000",10%,0,No Free Shipping
28,Hp Elitebook 820 G4 - Core i5 7th Generation - 8GB RAM - 128GB SSD - 500GB HDD - 12.5inch Screen - Free Laptop Bag,"53,999","74,999",28%,45,Free Shipping
29,HP Chromebook 11 G7 EE 11.6 Inch Laptop - Chrome OS - 4gb/16gb with Free USB,"14,699","16,500",11%,25,No Free Shipping
30,Hp EliteBook 850 G3 - Core i7 6th Generation - 8GB DDR4 - 256GB SSD - 15.6inch Screen ( NUMPAD ) - FREE LAPTOP BAG,"69,999","89,999",22%,1,Free Shipping
31,"Daraz Like New Laptops - HP Elitebook 840 G2 Notebook PC Intel Core i5 5th Generation, 8GB DDR3 Ram, 256GB SSD Drive, 14.1"" Led Display, Intel HD Graphics Card","41,999","55,000",24%,1,Free Shipping
32,i5 1st Generation mix Brand Laptop 4GB Ram 500GB Hard Disk Fresh Condition,"23,500","28,000",16%,15,No Free Shipping
33,"Daraz Like New - Lenovo ThinkPad T470S Core i5 6th Gen, 12GB, 512GB SSD, 14″ FHD IPS LED","66,499","68,000",2%,2,Free Shipping
34,"Lenovo IdeaPad Flex 3 i7-6200U Hybrid (2-in-1) 39.6 cm (15.6"") Touchscreen Intel® Core™ i7 8 GB DDR4-SDRAM 256 GB ssd Windows 10 Home Black","54,999","55,999",2%,0,Free Shipping
35,"Chrome Laptops Chromebook p22t - 4GB RAM, 16GB ssd Storage, Chrome OS","10,499","22,500",53%,0,No Free Shipping
36,Daraz Like New Laptops - Apple MacBook Pro 2012 - 500GB Storage 8GB RAM - 2.5GHz Dual-Core Core i5 - Mid 2012 13.3-inch LED Display - Dual Operating System MacOS & Windows 10 - Silver,"46,999","60,000",22%,45,Free Shipping
37,Daraz Like New Laptops - HP EliteBook 1040 G3-14” LED - Intel core i5 6th Generation (6300u) - 8GB RAM - 256GB SSD - Windows 10 (Activated),"59,999","72,999",18%,5,Free Shipping
38,Dell Latitude E7470 - Core i7 6th Generation - 16GB DDR4 RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"59,999","79,999",25%,15,Free Shipping
39,"Hp Elitebook 840 G5 - Core i5 - 8th Generation - 8gb RAM - 256GB SSD - 14"" Screen - Windows 10 Activated - Free Laptop Bag - Fattani Computer","78,999","120,000",34%,0,No Free Shipping
40,Daraz Like New Laptops - Apple Macbook Air A1466 2017 Intel Core i5 8gb 128gb Intel | Mac OS,"80,999","110,000",26%,0,Free Shipping
41,Daraz Like New Laptops - Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"14,499","20,999",31%,10,Free Shipping
42,Daraz Like New Laptops - Lenovo Thinkpad X230 Core i5 3rd Gen 4GB RAM 500GB 12.5″ Windows 10 (Free Laptop Bag),"24,999","33,999",26%,1,Free Shipping
43,Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 12.5inch Screen - FREE LAPTOP BAG,"45,999","59,999",23%,51,Free Shipping
44,"Dell Latitude E5470 14 inch ""Laptop, 2.4GHz Core i5-6300U, 8GB RAM, 256GB SSD, Windows 10 Pro 64-bit","46,999","90,000",48%,9,Free Shipping
45,LAPTOP HP - EliteBook 840G5 - CORE I5 -8TH GENERATION- 16GB RAM - 512GB SSD - Windows® 10 Activated - FREE LAPTOP BAG,"87,999","130,000",32%,1,No Free Shipping
46,Apple MacBook Pro 2012 500GB Storage 4GB RAM 2.5GHz Dual-Core Core i5 Mid 2012 13.3-inch LED Display Dual Operating System MacOS & Windows 10 Silver,"39,999","60,000",33%,10,No Free Shipping
47,"Daraz Like New Laptops - Lenovo ThinkPad T470 Core i5 7th Gen, 8GB, 256GB SSD, 14″ Screen IPS LED (Windows 11 Licensed) FREE LAPTOP BAG","54,999","69,999",21%,1,Free Shipping
48,"Newest Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS","17,500","24,000",27%,17,Free Shipping
49,"Daraz Like New Laptops - HP EliteBook 840 G4 Laptop (Core i5 7th Gen) 16GB RAM, 256GB SSD","73,999","82,000",10%,4,No Free Shipping
50,"LENOVO B50-45 LAPTOP | AMD E1-6010U PROCESSOR | 4GB RAM DDR3 | 320GB HDD | 15.6"" LED DISPLAY","22,000",0,0%,0,Free Shipping
51,LAPTOP HP - EliteBook 840G5 - CORE I5 -8TH GENERATION- 8GB RAM - 256GB SSD - Windows® 10 Activated - FREE LAPTOP BAG,"76,999","120,000",36%,2,No Free Shipping
52,HP 15S-DU1520TU Celeron N4020 4GB 1TB UMA 15.6 HD WIN 10 Jet Black,"67,999",0,0%,23,Free Shipping
53,"Daraz Like New Laptops - Dell Latitude 6430, Core i5 3rd Gen 8GB RAM, 500GB HDD","33,999","38,000",11%,32,No Free Shipping
54,Dell Latitude E7470 - Core i5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 14inch HD Screen - FREE LAPTOP BAG,"48,999","79,999",39%,3,Free Shipping
55,Daraz Like New Laptops - Dell Latitude 6430 Core i5 3rd Gen 8GB - 500GB HDD,"31,999","36,000",11%,33,No Free Shipping
56,HP EliteBook 840 G3 ( TOUCHSCREEN) - Core i5 6th Generation - 8 GB RAM - 256 GB SSD with 500GB HDD - 14inch Screen - FREE LAPTOP BAG,"58,999","79,999",26%,21,Free Shipping
57,"Daraz Like New Laptops - HP EliteBook 840 G3 Ultra Book Core i5 6th Gen 8GB RAM, 256GB SSD","56,999","64,000",11%,10,No Free Shipping
58,"Daraz Like New Laptops - Apple MacBook Air A1466 Early 2015 Core i5 4GBRAM, 128GB SSD","61,999","69,000",10%,12,No Free Shipping
59,"Daraz Like New Laptops - Dell Latitude 5490 Laptop Core i5 8th Gen 8GB RAM, 256GB SSD","68,999","77,000",10%,6,No Free Shipping
60,"Daraz Like New Laptops - HP EliteBook 850 G5/G6 Intel Core I5-8TH GEN 16GB DDR4 512GB SSD 15"" FHD LED","109,999","116,999",6%,5,Free Shipping
61,"Daraz Like New Laptops - Apple MacBook Pro 2012 Core i5 8GB RAM, 500GB HDD","48,999","55,000",11%,29,No Free Shipping
62,"Lenovo TB14 G2 ITL, Intel® Core™ i7-1165G7 (2.80GHz,) 14 1920x1080 Non-Touch,16GB RAM, 256GB SSD M.2, Intel® IrisⓇXe Graphics, 720p HD Camera, 1Year Warranty with Win 11 and Bagpack","279,900","289,900",3%,0,No Free Shipping
63,"Daraz Like New Laptops - HP EliteBook 840 G4 Laptop Core i5 7th Gen 8GB, 256GB SSD","71,999","80,000",10%,4,No Free Shipping
64,Hp/Toshiba/Lenovo/i3 2nd Generation Mix brands Laptop 4GB RAM / 320GB HARD DISK/ FRESH CONDITION,"23,000","28,000",18%,10,Free Shipping
65,"Dell Core i7-8th Generation | 16GB RAM , 512GB SSD Hard | 2K HD Display | 6Hours+ Battery Backup | FREE LAPTOP BAG","135,000","180,000",25%,6,No Free Shipping
66,"Daraz Like New Laptops - Dell Latitude 6530 Core i5 3rd Gen 8GB RAM, 500GB HDD","34,999","39,000",10%,9,No Free Shipping
67,Daraz Like New Laptops - HP EliteBook 820 G4 - Core i5 7th Generation - 8GB DDR4 RAM - 128GB SSD AND 500GB HDD- 12.5inch Screen - FREE LAPTOP BAG,"59,999","79,999",25%,24,Free Shipping
68,"Hp Core i5-5th Generation | TOUCH SCREEN | 8GB RAM , 128GB SSD Hard Drive | Ultra HD TOUCH DISPLAY 360 degree revolve | 4Hours+ Battery Backup","58,500","80,000",27%,15,No Free Shipping
69,"GF63 Thin 11SC (GTX1650 Max Q, GDDR6 4GB) Tiger Lake i7-11800H+HM570 8GB*2 Ram 1TB NVMe PCIe Gen3x4 SSD 15.6"" FHD DOS with Win 11 and free Bagpack.","268,900","288,900",7%,0,No Free Shipping
70,Core 2 Due Mix Brand Laptop 4GB ram 320GB HRAD Disk with colors sheet,"17,500","30,000",42%,1,Free Shipping
71,"Dell Latitude 7400 Laptop, 14.0"" FHD (1920 x 1080), i5-8365U, 8th Gen, 8GB RAM, 256GB SSD, Windows 10 Pro","69,999","85,000",18%,2,No Free Shipping
72,Daraz Like New Laptops - Dell Chromebook 11 3180 - 4GB RAM - 32GB SSD,"13,999","24,999",44%,0,Free Shipping
73,"Apple MacBook Pro (13-inch, 2011) - 2.8GHz dual-core Intel Core i7 Processor - RAM 8GB DDR3 - 500GB HDDD - MacOS Installed - Silver","42,500","49,000",13%,1,No Free Shipping
74,Dell Latitude E7470 - Core i7 6th Generation - 8GB DDR4 RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"54,499","79,999",32%,16,Free Shipping
75,HP ProBook 640 G1 - Core i5 4th Generation - 4GB RAM - 500GB HDD - 14inch Screen - Free Laptop Bag,"36,499","54,999",34%,60,Free Shipping
76,Thinkpad Yoga 260 - Core i5 6200U - 12.5inch 360Degree FHD TouchScreen - 8GB DDR4 RAM - 512GB NVME M2 SSD - Windows 10 Professional (Renewed),"55,500","72,499",23%,3,No Free Shipping
77,Core i5 1st Generation 4GB Ram 320 GB Hard disk combo Camera with Charger Slightly Used,"23,000","27,000",15%,2,Free Shipping
78,"MacBook Air i5 (13-inch, Early 2015) 8gb 128gb","73,000","85,000",14%,2,No Free Shipping
79,"Daraz Like New Laptops - Lenovo N23 Chromebook – 11.6″ – 4 G 4GB RAM, 16GB Storage, Chrome OS","16,999","19,000",11%,7,No Free Shipping
80,"MacBook Pro (Retina, 15-inch, Mid 2015) - Core i7 processor (Turbo Boost up to 3.4GHz) - RAM 16GB DDR3L - 512GB SSD Flash Storage - MacOS Installed","131,999","146,000",10%,2,No Free Shipping
81,"Daraz Like New Laptops - HP EliteBook 840 G1 Notebook PC Intel Core i7 4th Gen, 8GB DDR3 Ram, 256GB SSD Drive, 14.1"" Intel HD Display, Intel HD Graphics","39,999","55,000",27%,1,Free Shipping
82,Lenovo N23 Chromebook - 4gb/16gb - Play Store Supported - Excellent Battery Timing,"14,560","15,599",7%,3,No Free Shipping
83,"DELL Latitude 3189, Intel Pentium N4200 Quad-Core (1.1 GHz), 8 GB DDR3L Ram, 128 GB SSD, Intel HD Graphics 505, 11.6"" Touchscreen 1366 x 768 Convertible 2-in-1 Laptop Windows 10 Pro 64-Bit (Registered Windows)","32,499","39,999",19%,8,Free Shipping
84,HP Chromebook 11 G4 EE - 4GB RAM - 16GB ROM - Playstore Supported - 11.6 inch Display - Long Battery Life,"13,480","17,980",25%,0,No Free Shipping
85,"HP Probook 640 G2 14"" , Core i5-6300U 2.4GHz, 8GB RAM, 500GB HDD Drive, Windows 10 Pro 64Bit,","44,999","64,999",31%,51,Free Shipping
86,Daraz Like New Laptops - Lenovo N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"14,599","19,999",27%,8,Free Shipping
87,"HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen 8GB DDR4 Ram 128GB SSD + 500GB HDD Windows 10 Pro 64bit","51,999","70,000",26%,61,No Free Shipping
88,"HP EliteBook 840 G4 14"" HD Laptop | Core i5-7200U 7th Gen 2.6GHz | 8GB DDR4 RAM | 256GB Solid State Drive | Windows 10 Pro","58,999","79,999",26%,11,Free Shipping
89,Lenovo ThinkPad X1 carbon touchscreen core i7 8th Generation,"146,000","165,000",12%,0,No Free Shipping
90,"Dell Inspiron Chromebook 11 3180-11.6"" HD -Intel Celeron N3060-4GB - 16GB eMMC - Play Store - Chrome OS - Black","14,500","22,000",34%,1,Free Shipping
91,Daraz Like New Laptops Hp Elitebook 820 G4 - Core i5 7th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),"54,999","62,999",13%,2,Free Shipping
92,"Daraz Like New Laptops - Dell Latitude 5520, Core i5 2nd generation, 8GB DDR3 Ram, 500GB Hard Drive, 15.6"" Led Display, Intel HD Graphics","27,999","40,000",30%,12,Free Shipping
93,"_Dell Core i5-2nd Generation | 4GB RAM , 320GB Hard Drive | 3Hours+ Battery Backup","25,500","40,000",36%,8,No Free Shipping
94,Lenovo Thinkpad T470 - Core i5 7th Generation - 8GB DDR4 - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"51,499","79,999",36%,6,Free Shipping
95,"Lenovo Thinkpad T460 14-Inch Laptop ( Intel Core i5-6300U Dual-Core 2.4GHz, 8GB DDR3, 500GB HDD, Windows 10 Pro","42,999","89,999",52%,6,Free Shipping
96,"Lenovo ThinkPad Yoga 11e 11.6-inch Touch Screen 360 Convertible Laptop ( Intel® Celeron® Processor N3150 2M Cache, up to 2.25 GHz 4GB 128GB SSD Windows 10 Pro Intel HD Graphics), Black","27,999","28,999",3%,22,No Free Shipping
97,Daraz Like New Laptops - Dell Chromebook 11 3189 - 360 TouchScreen - Intel Celeron N3060 - 4GB Ram - 16GB SSD With Play Store - PUBG Supported - With Box/Bag,"15,999","30,000",47%,4,Free Shipping
